price,community,layout,perprice,region,area,payment,year,orientation,type,floor,renovation,elevator
104,西湖逸品,3室2厅2卫,8830,隆昌市－隆昌城区－隆华路一段51号,117.8,31.2,2015,南北,普通住宅,低层(共28层),豪华装修,有
69.8,邦泰国际公馆(西区),3室2厅1卫,9694,东兴区－新六中－北环路888号,72,20.94,2014,南北,普通住宅,中层(共27层),精装修,有
69.8,金石广场,3室2厅2卫,5453,"东兴区－新六中－西林大道,近北环路",128,20.94,2011,南,普通住宅,高层(共28层),豪华装修,有
58,花满庭,3室2厅1卫,7296,东兴区－新六中－汉安大道西380号,79.5,17.4,2012,南北,普通住宅,中层(共25层),精装修,有
78.8,海棠雅居,3室2厅2卫,9381,东兴区－月儿湾－大千路869号,84,23.64,2012,南,普通住宅,中层(共25层),精装修,有
61.8,荷香苑,3室2厅2卫,5237,市中区－城西－双苏路269号,118,18.54,2014,南,普通住宅,中层(共29层),精装修,有
65.8,金科翡翠公园,3室2厅2卫,6267,"东兴区－三湾路－321国道,近汉安大道",105,19.74,2019,南北,普通住宅,中层(共30层),毛坯,有
65.9,甜城国际社区B区,3室2厅2卫,6276,市中区－城西－南鞍路,105,19.77,2019,南北,普通住宅,中层(共25层),精装修,有
43.8,远达世纪城,3室2厅2卫,4854,资中县－资中城区－凤鸣路,90.2,13.14,2020,南北,普通住宅,高层(共23层),毛坯,有
69.6,鸿通春天江与城,3室2厅1卫,9495,"东兴区－东兴－兰桂大道,近北环路",73.3,20.88,2016,南北,普通住宅,中层(共33层),精装修,有
62.8,邦泰大观府,3室2厅2卫,7753,"东兴区－三湾路－双凤路,近兰桂大道",81,18.84,2019,南北,普通住宅,高层(共18层),毛坯,有
53,金科集美天宸,3室2厅2卫,5699,"市中区－城西－甜城大道,近汉渝大道",93,15.9,2019,南北,普通住宅,中层(共29层),毛坯,有
48,英伦世家,3室2厅2卫,5106,"市中区－城西－内资路,汉渝大道",94,14.4,2013,南北,普通住宅,高层(共26层),毛坯,有
77.6,鸿通春天江与城,3室2厅2卫,9823,"东兴区－东兴－兰桂大道,近北环路",79,23.28,2015,南北,普通住宅,中层(共32层),精装修,有
89.8,西湖国际,3室2厅1卫,9145,"隆昌市－隆昌城区－环城南路,近万隆路",98.2,26.94,2015,东,普通住宅,中层(共32层),精装修,有
108,蜀隆首座,3室2厅2卫,9558,"隆昌市－隆昌城区－人民中路,近万隆路",113,32.4,2018,南,普通住宅,高层(共25层),精装修,有
53.6,莱菲特广场,3室2厅1卫,5900,隆昌市－隆昌城区－环城南路 ,90.8,16.08,2015,南北,普通住宅,中层(共31层),毛坯,有
79.8,海棠雅居,3室2厅2卫,9477,东兴区－月儿湾－大千路869号,84.2,23.94,2013,南北,普通住宅,中层(共25层),精装修,有
67.8,揽景苑,3室2厅2卫,6396,市中区－城西－新华路东2巷26号,106,20.34,2015,南北,普通住宅,高层(共28层),精装修,有
63.5,大千华庭,3室2厅1卫,7056,东兴区－新六中－天河街8号,90,19.05,2015,南北,普通住宅,中层(共32层),精装修,有
57.8,金科中央公园城,3室2厅1卫,6429,市中区－城西－内椑路,89.9,17.34,2014,南北,普通住宅,中层(共33层),精装修,有
56.8,城南1号东苑小区,3室2厅2卫,6375,资中县－资中城区－资州大道,89.1,17.04,2018,南北,普通住宅,高层(共21层),毛坯,有
63.8,长富名苑,3室2厅2卫,5361,市中区－市中周边－腾飞路12号,119,19.14,2008,南北,普通住宅,低层(共28层),精装修,有
79.8,北关新城和坊,3室2厅1卫,7748,隆昌市－隆昌城区－大北街121号,103,23.94,2012,南北,普通住宅,低层(共29层),精装修,有
75.8,北关新城和坊,3室2厅1卫,7431,隆昌市－隆昌城区－大北街121号,102,22.74,2012,南北,普通住宅,低层(共28层),精装修,有
58,精城峰阁,3室2厅1卫,5577,市中区－城西－新建村13号,104,17.4,2012,南,普通住宅,中层(共24层),简单装修,有
98.8,紫云府小区,3室2厅2卫,10186,隆昌市－隆昌城区－隆华西路,97,29.64,2019,南北,普通住宅,高层(共26层),豪华装修,有
55,华安金果园,3室2厅1卫,5729,市中区－城西－江宁街160号,96,16.5,2015,南北,普通住宅,高层(共28层),毛坯,有
46.8,英伦世家,3室2厅1卫,5032,"市中区－城西－内资路,汉渝大道",93,14.04,2012,南北,普通住宅,低层(共25层),毛坯,无
67.8,揽景苑,3室2厅2卫,6396,市中区－城西－新华路东2巷26号,106,20.34,2013,南,普通住宅,高层(共28层),精装修,有
61.8,江城花园,3室2厅2卫,6059,市中区－城西－江华街6号,102,18.54,2012,南北,普通住宅,低层(共26层),精装修,有
76.6,鸿通春天江与城,3室2厅2卫,7737,"东兴区－东兴－兰桂大道,近北环路",99,22.98,2018,南北,普通住宅,中层(共33层),豪华装修,有
76.8,花满庭,3室2厅2卫,7837,东兴区－新六中－汉安大道西380号,98,23.04,2010,南北,普通住宅,高层(共26层),精装修,有
86.6,隆城1号,3室2厅1卫,9730,"隆昌市－隆昌城区－人民中路,近中山路",89,25.98,2017,南北,普通住宅,高层(共29层),精装修,有
68.8,揽景苑,3室2厅2卫,6552,市中区－城西－新华路东2巷26号,105,20.64,2010,南北,普通住宅,高层(共26层),精装修,有
81.8,海棠雅居,3室2厅2卫,9295,东兴区－月儿湾－大千路869号,88,24.54,2015,南北,普通住宅,中层(共26层),精装修,有
78.8,银杏家园,3室2厅2卫,6678,东兴区－月儿湾－兴隆路380号,118,23.64,2013,南北,普通住宅,高层(共28层),精装修,有
98.6,紫云府小区,3室2厅2卫,10165,隆昌市－隆昌城区－隆华西路,97,29.58,2018,东,普通住宅,高层(共26层),精装修,有
