价格（万）,小区,房屋户型,房屋单价（元/m²）,所在位置,建筑面积（平方米）,参考首付（万）,建造年代（年）,房屋朝向,参考月供,房屋类型,所在楼层,装修程度,配套电梯,产权性质,是否一手房源
49.6万,桐梓小区2期,3室2厅1卫,6331,东兴区－三湾路－星桥街,78.3,14.88,2015,南北,,普通住宅,低层(共8层),精装修,无,商品房,否
74.6万,凤凰城,3室2厅2卫,6322,"资中县－资中城区－321国道,近资州大道",118,22.38,2014,南北,,普通住宅,低层(共33层),精装修,有,商品房,否
73.8万,万达中央华城,3室2厅2卫,8110,东兴区－东兴周边－兰桂大道442号,91,22.14,2015,南北,,普通住宅,低层(共33层),精装修,有,商品房,否
77.6万,万达中央华城,3室2厅2卫,8527,东兴区－东兴周边－兰桂大道442号,91,23.28,2016,南北,,普通住宅,低层(共32层),精装修,有,商品房,否
70.8万,锦华都,5室2厅2卫,6000,东兴区－月儿湾－汉安大道东段888号,118,21.24,2017,南北,,普通住宅,低层(共30层),毛坯,有,商品房,否
49.8万,桐梓小区2期,3室2厅1卫,6357,东兴区－三湾路－星桥街,78.3,14.94,2007,南,,普通住宅,低层(共7层),精装修,无,商品房,否
89.8万,翡翠国际社区,3室2厅2卫,8635,东兴区－东兴－汉安大道西段927号,104,26.94,2015,南北,,普通住宅,中层(共33层),精装修,有,商品房,否
57.8万,凤凰城,3室2厅1卫,7101,"资中县－资中城区－321国道,近资州大道",81.4,17.34,2013,南北,,普通住宅,中层(共33层),精装修,有,商品房,否
88万,邦泰国际社区,3室2厅2卫,9167,东兴区－月儿湾－兰桂大道,96,26.40,2019,南北,,普通住宅,高层(共33层),精装修,有,商品房,否
59.8万,万晟城峰阁,3室2厅1卫,6571,东兴区－三湾路－汉安大道东段111号,91,17.94,2016,南北,,普通住宅,低层(共32层),毛坯,无,商品房,否
72万,汉安天地,3室2厅1卫,9114,东兴区－新六中－汉安大道西段888号,79,21.60,2016,南北,,普通住宅,高层(共32层),精装修,有,商品房,否
58.6万,金元亨小区,3室2厅1卫,5009,隆昌市－隆昌城区－春光路10号,117,17.58,2005,南,,普通住宅,低层(共7层),简单装修,无,商品房,否
63.2万,大盛现代城,3室2厅2卫,5311,市中区－城西－交通路559号,119,18.96,2012,南北,,普通住宅,高层(共31层),精装修,有,商品房,否
71.6万,星耀香颂湖,3室2厅2卫,7020,"东兴区－月儿湾－栖霞路,近清溪路",102,21.48,2015,南北,,普通住宅,中层(共33层),毛坯,有,商品房,否
70万,邦泰国际社区,3室2厅1卫,8140,东兴区－月儿湾－兰桂大道,86,21.00,2016,南北,,普通住宅,高层(共32层),精装修,无,商品房,否
70.8万,中铁城市中心,3室2厅2卫,7453,"资中县－资中城区－资州大道,近春岚北路",95,21.24,2014,西北,,普通住宅,中层(共31层),简单装修,无,商品房,否
61.8万,金山晶座,3室2厅1卫,7023,资中县－资中城区－滨江西路236号,88,18.54,2014,南北,,普通住宅,高层(共31层),精装修,有,商品房,否
70万,城南一号西苑,3室2厅2卫,7882,资中县－资中城区－资州大道南二段,88.8,21.00,2015,南北,,普通住宅,高层(共33层),毛坯,有,商品房,否
39.9万,西浦官邸,3室2厅1卫,6797,市中区－城西－双苏路6号,58.7,11.97,2012,东,,普通住宅,低层(共33层),精装修,有,商品房,否
76.8万,传化广场锦园,3室2厅2卫,7837,东兴区－三湾路－汉安大道,98,23.04,2016,南北,,普通住宅,低层(共30层),精装修,有,商品房,否
55万,望江雅苑,3室2厅2卫,5556,市中区－城西－206省道,99,16.50,2020,东,,普通住宅,低层(共18层),毛坯,有,商品房,否
59.8万,万达中央华城,3室2厅1卫,6644,东兴区－东兴周边－兰桂大道442号,90,17.94,2015,东南,,普通住宅,中层(共33层),简单装修,有,商品房,否
54.8万,长河路18号小区,3室2厅2卫,5074,资中县－资中城区－长河路18号,108,16.44,2015,东,,普通住宅,低层(共7层),精装修,无,商品房,否
68.8万,邦泰国际公馆(西区),3室2厅1卫,9829,东兴区－新六中－北环路888号,70,20.64,2015,南北,,普通住宅,高层(共32层),精装修,有,商品房,否
69.6万,邦泰国际公馆(西区),3室2厅1卫,9943,东兴区－新六中－北环路888号,70,20.88,2015,南北,,普通住宅,高层(共33层),精装修,有,商品房,否
69.8万,船城首座,3室2厅2卫,7822,资中县－资中城区－滨江西路,89.2,20.94,2017,南北,,普通住宅,中层(共33层),毛坯,有,商品房,否
82.8万,嘉和宽庭,3室2厅2卫,8536,隆昌市－隆昌城区－古宇路261号,97,24.84,2018,南,,普通住宅,中层(共33层),精装修,无,商品房,否
75.6万,嘉和宽庭,3室2厅1卫,8308,隆昌市－隆昌城区－古宇路261号,91,22.68,2015,西南,,普通住宅,低层(共30层),精装修,有,商品房,否
75.6万,嘉禾大厦,3室2厅1卫,8308,市中区－城西－玉溪路377号,91,22.68,2017,南北,,普通住宅,低层(共32层),精装修,有,商品房,否
76.8万,万达中央华城,3室2厅2卫,7314,东兴区－东兴周边－兰桂大道442号,105,23.04,2017,南北,,普通住宅,高层(共33层),精装修,有,商品房,否
45.8万,大南街14社区,3室2厅1卫,4164,隆昌市－隆昌城区－大南街145号,110,13.74,2000,南北,,普通住宅,低层(共7层),精装修,无,商品房,否
72.8万,中铁城市中心,3室2厅2卫,7664,"资中县－资中城区－资州大道,近春岚北路",95,21.84,2015,南北,,普通住宅,中层(共31层),精装修,有,商品房,否
43.8万,鸿通春天公园城,3室2厅2卫,6592,市中区－城西－松山南路135号,66.4,13.14,2016,南北,,普通住宅,高层(共33层),毛坯,有,商品房,否
77.8万,传化广场锦园,3室2厅2卫,7939,东兴区－三湾路－汉安大道,98,23.34,2017,南北,,普通住宅,低层(共33层),精装修,有,商品房,否
54.6万,惠民小区,3室2厅2卫,5056,资中县－资中城区－资州大道南二段,108,16.38,2018,南北,,普通住宅,低层(共6层),精装修,无,商品房,否
65.8万,西浦观邸第一城,3室2厅2卫,7311,市中区－城西－甜城大道南段488号,90,19.74,2010,南北,,普通住宅,高层(共30层),精装修,有,商品房,否
68.8万,现代国际,3室2厅2卫,7730,资中县－资中城区－资州大道南一段46号,89,20.64,2013,南北,,普通住宅,低层(共31层),精装修,有,商品房,否
71万,西浦观邸第一城,3室2厅2卫,7889,市中区－城西－甜城大道南段488号,90,21.30,2016,南,,普通住宅,低层(共33层),精装修,有,商品房,否
54.8万,时代晶座,3室2厅1卫,5649,资中县－资中城区－城南东大道,97,16.44,2015,南北,,普通住宅,低层(共18层),精装修,有,商品房,否
74.8万,凯利翡翠园,3室2厅2卫,7446,"资中县－资中城区－和鸣大道,近东大道二段",100.5,22.44,2014,南北,,普通住宅,低层(共11层),精装修,有,商品房,否
68.8万,现代国际,3室2厅2卫,7730,资中县－资中城区－资州大道南一段46号,89,20.64,2014,南北,,普通住宅,低层(共32层),精装修,有,商品房,否
63.6万,天运家园,3室2厅1卫,6235,隆昌市－隆昌城区－石油路二段160号,102,19.08,2010,南,,普通住宅,低层(共7层),精装修,无,商品房,否
56.8万,创宇春天花城,3室2厅2卫,5462,威远县－威远城区－东风北路,104,17.04,2017,东北,,普通住宅,高层(共31层),毛坯,有,商品房,否
89.8万,翡翠国际社区,3室2厅2卫,8635,东兴区－东兴－汉安大道西段927号,104,26.94,2015,南北,,普通住宅,中层(共33层),精装修,有,商品房,否
64.9万,现代国际,3室2厅1卫,6756,资中县－资中城区－资州大道南一段46号,96.1,19.47,2013,南北,,普通住宅,中层(共33层),精装修,有,商品房,否
69.8万,凤凰城,3室2厅2卫,6123,"资中县－资中城区－321国道,近资州大道",114,20.94,2015,南北,,普通住宅,低层(共33层),精装修,有,商品房,否
69.8万,凤凰城,3室2厅2卫,6123,"资中县－资中城区－321国道,近资州大道",114,20.94,2013,南北,,普通住宅,低层(共33层),精装修,有,商品房,否
61.8万,现代国际,3室2厅1卫,5942,资中县－资中城区－资州大道南一段46号,104,18.54,2012,南北,,普通住宅,高层(共33层),精装修,有,商品房,否
63.8万,金山晶座,3室2厅1卫,7169,资中县－资中城区－滨江西路236号,89,19.14,2014,南北,,普通住宅,低层(共31层),精装修,有,商品房,否
66.8万,金山晶座,3室2厅2卫,7506,资中县－资中城区－滨江西路236号,89,20.04,2014,东,,普通住宅,中层(共32层),精装修,有,商品房,否
54万,金山一品,3室2厅2卫,5243,"资中县－资中城区－资州大道,近抚琴街",103,16.20,2015,南北,,普通住宅,低层(共33层),毛坯,有,商品房,否
56.8万,江城花园,3室2厅2卫,5569,市中区－城西－江华街6号,102,17.04,2012,南北,,普通住宅,低层(共18层),精装修,有,商品房,否
57.8万,凤凰城,3室2厅2卫,5898,"资中县－资中城区－321国道,近资州大道",98,17.34,2015,南北,,普通住宅,中层(共33层),毛坯,有,商品房,否
66.6万,西锦园,3室2厅2卫,6404,东兴区－月儿湾－兴隆路382号,104,19.98,2012,南北,,普通住宅,低层(共7层),精装修,无,商品房,否
37.8万,沿江路122号小区,3室2厅1卫,4725,市中区－城西－沿江路122号,80,11.34,1999,南北,,普通住宅,低层(共8层),简单装修,无,商品房,否
69.8万,鸿通春天江与城,3室2厅1卫,9523,"东兴区－东兴－兰桂大道,近北环路",73.3,20.94,2018,南北,,普通住宅,中层(共34层),精装修,有,商品房,否
89.8万,金科公园王府,3室2厅2卫,9945,"东兴区－新六中－大千路,近玉屏街",90.3,26.94,2015,南北,,普通住宅,高层(共33层),精装修,有,商品房,否
74.8万,西雅图水景苑,3室2厅2卫,7057,东兴区－新六中－星桥街516号,106,22.44,2004,南北,,普通住宅,低层(共6层),精装修,无,商品房,否
60.8万,金山一品,3室2厅2卫,6609,"资中县－资中城区－资州大道,近抚琴街",92,18.24,2013,东,,普通住宅,中层(共32层),精装修,有,商品房,否
61.8万,金山晶座,3室2厅1卫,7023,资中县－资中城区－滨江西路236号,88,18.54,2013,南北,,普通住宅,高层(共31层),精装修,有,商品房,否
55万,望江花园,3室2厅2卫,5556,资中县－资中城区－水南下街1号,99,16.50,2020,东,,普通住宅,低层(共18层),毛坯,有,商品房,否
